Date_Froze,Trial_num,Plate_Num,position,Trial_order,Species,Species_Rep,Tissue,Tissue_Rep,Dry_Mass_mg,Plot ,Experiment Type,Date_Weighted,Initials,Notes,old_Tissue
2/6/2019,1,8,1,1,HELHEL,3A,Seedling,A,1.74,,Seedling Freeze Trial,2/13/2019,SK,,Seedling A
2/6/2019,1,9,2,1,RATPIN,1A,Seedling,B,1.23,,Seedling Freeze Trial,2/13/2019,SK,,Seedling B
2/6/2019,1,10,3,1,PREALB,2A,Seedling,A,1.04,,Seedling Freeze Trial,2/13/2019,SK,,Seedling A
2/6/2019,1,11,4,1,SYMPIL,1A,Seedling,A,0.37,,Seedling Freeze Trial,2/13/2019,SK,,Seedling A
2/6/2019,1,15,5,1,SYMPIL,2A,Seedling,A,0.35,,Seedling Freeze Trial,2/13/2019,SK,or B,Seedling A (or B)
2/6/2019,1,16,6,1,RATPIN,1A,Seedling,A,0.63,,Seedling Freeze Trial,2/13/2019,SK,,Seedling A
2/6/2019,1,17,7,1,SYMNOV,3A,Seedling,A,1.19,,Seedling Freeze Trial,2/13/2019,SK,or B,Seedling (A or B)
2/6/2019,1,20,8,1,SYMNOV,1A,Seedling,C,0.8,,Seedling Freeze Trial,2/13/2019,SK,no seedling A - damaged,Seedling C (No Seedling A - damaged)
2/6/2019,1,21,9,1,PREALB,2A,Seedling,B,0.98,,Seedling Freeze Trial,2/13/2019,SK,,Seedling B
2/6/2019,1,22,10,1,SYMNOV,1A,Seedling,B,0.94,,Seedling Freeze Trial,2/13/2019,SK,,Seedling B
2/6/2019,1,23,11,1,RATPIN,2A,Seedling,A,0.64,,Seedling Freeze Trial,2/13/2019,SK,or B,Seedling (A or B)
2/6/2019,1,26,12,1,SYMNOV,2A,Seedling,B,1.1,,Seedling Freeze Trial,2/13/2019,SK,,Seedling B
2/6/2019,1,27,13,1,RATPIN,2A,Seedling,A,1.28,,Seedling Freeze Trial,2/13/2019,SK,or B,Seedling (A or B)
2/6/2019,1,28,14,1,HELHEL,3A,Seedling,B,2.9,,Seedling Freeze Trial,2/13/2019,SK,,Seedling B
