Trial_date,Trial_num,File_name,Experiment_description
2/6/2019,1,Rec-cold_tol-037_15_36_13_257,SK experiment
2/11/2019,1,Rec-000032,SK experiment
2/15/2019,1,Rec-000023,SK experiment
2/20/2019,1,Rec-000025,SK experiment
2/21/2019,1,Rec-000026,SK experiment
2/25/2019,1,Rec-000027,SK experiment
3/1/2019,1,Rec-000030,SK experiment
3/4/2019,1,Rec-000032,SK experiment
3/8/2019,1,Rec-000033,SK experiment
3/15/2019,1,Rec-000044,SK experiment
3/18/2019,1,Rec-000046,SK experiment
3/27/2019,1,Rec-000048,SK experiment
3/29/2019,1,Rec-000050,SK experiment
4/1/2019,1,Rec-000051,SK experiment
4/2/2019,1,Rec-000052,SK experiment
4/3/2019,1,Rec-000054,SK experiment
4/4/2019,1,Rec-000055,SK experiment
4/4/2019,2,Rec-000057,SK experiment
4/5/2019,1,Rec-000058,SK experiment
4/9/2019,1,Rec-000061,SK experiment
4/10/2019,1,Rec-000062,SK experiment
4/12/2019,1,Rec-000063,Field tissue test
4/17/2019,1,Rec-000069,SK experiment
4/19/2019,1,Rec-000071,SK experiment
4/29/2019,1,Rec-000077,SK experiment
5/1/2019,1,Rec-000079,SK experiment
4/15/2019,1,Rec-000066,GRIN trial 1
4/15/2019,2,Rec-000068,GRIN trial 1
4/22/2019,1,Rec-000073,GRIN trial 1
4/23/2019,1,Rec-000074,GRIN trial 1
4/26/2019,1,Rec-000076,GRIN trial 1
5/3/2019,1,Rec-000081,GRIN trial 1
5/9/2019,1,Rec-000083,GRIN trial 1
5/20/2019,1,Rec-000084,GRIN trial 2
5/21/2019,1,Rec-000087,GRIN trial 2
5/22/2019,1,Rec-000088,GRIN trial 2
5/23/2019,1,Rec-000089,GRIN trial 2
6/14/2019,1,Rec-000092,CTREU Test 1A
6/17/2019,1,Rec-000094,GRIN trial 2
6/18/2019,1,Rec-000097,GRIN trial 2
6/18/2019,2,Rec-000098,GRIN trial 2
6/20/2019,1,Rec-000099,GRIN trial 2
6/21/2019,1,Rec-000100,CTREU Test 1B
6/27/2019,1,Rec-000102,CTREU Trial 1A
7/2/2019,1,Rec-000203,CTREU Trial 1B
7/16/2019,1,Rec-000204,CTREU Trial 1C
7/22/2019,1,Rec-000206,CTREU Trial 1D/2A
7/26/2019,1,Rec-000207,CTREU Trial 1E/2B
7/30/2019,1,Rec-000208,CTREU Trial 1F/2C
8/7/2019,1,Rec-000209,CTREU Trial 1G/2D/3A
8/13/2019,1,Rec-000210,CTREU
8/23/2019,1,Rec-000211,CTREU
6/4/2019,1,Rec-000090,Bud bank
6/6/2019,1,Rec-000091,Bud bank
