name,sppcode,name_sep
Allium cernuum,ALLCER,Allium \n cernuum
Aquilegia canaensis,AQUCAN,Aquilegia \n canaensis
Artemisia campestris,ARTCAM,Artemisia \n campestris
Asclepias syriaca,ASCSYR,Asclepias \n syriaca
Carex pensylvanica,CARPEN,Carex \n pensylvanica
Ceanothus americanus,CEAAME,Ceanothus \n americanus
Desmodium illinoensis,DESILL,Desmodium \n illinoensis
Gentiana andrewsii,GENAND,Gentiana \n andrewsii
Gentiana puberulenta,GENPUB,Gentiana \n puberulenta
Heliopsis helianthoides,HELHEL,Heliopsis \n helianthoides
Lathyrus venosus,LATVEN,Lathyrus \n venosus
Liatrus cylindracea,LIACYL,Liatrus \n cylindracea
Oxalis violaceae,OXAVIO,Oxalis \n violaceae
Phlox pilosa,PHLPIL,Phlox \n pilosa
Prenanthes alba,PREALB,Prenanthes \n alba
Ratibida pinnata,RATPIN,Ratibida \n pinnata
Euthamia graminifolia,SOLGRA,Euthamia \n graminifolia
Symphyotrichum novae-angliae,SYMNOV,Symphyotrichum \n novae-angliae
Syphyotrichum oblongifolius,SYMOBL,Syphyotrichum \n oblongifolius
Syphyotrichum pilosum,SYMPIL,Syphyotrichum \n pilosum
Tradescantia ohiensis,TRAOHI,Tradescantia \n ohiensis
